Name,Band,Background,Background Error,Systematic Error
SDSS-II SN 13777,FUV,1.47367377387231e-17,1.1238741420219829e-17,5.13385065830035e-18
SDSS-II SN 13777,NUV,5.171190337531012e-18,1.2292395894651992e-18,2.9669575933486586e-19
SDSS-II SN 1378,FUV,1.7239426304897572e-17,3.062728176335588e-17,6.921726349613916e-18
SDSS-II SN 1378,NUV,1.5296364709274985e-17,2.8738892758688083e-18,2.6378306508571096e-19
SDSS-II SN 13813,FUV,7.269793560821332e-18,1.8445919771104968e-17,5.088855492574933e-19
SDSS-II SN 13813,NUV,1.670007774828051e-17,1.115945356889771e-17,1.169005442379636e-18
SDSS-II SN 13833,FUV,3.338000567158759e-17,1.2792784648019823e-19,2.3647892958837e-18
SDSS-II SN 13833,NUV,-4.593616490650455e-18,6.115858882169429e-18,9.469431032353812e-19
SDSS-II SN 13836,FUV,1.3248184699614965e-17,1.623117862597966e-17,9.273729289730476e-19
SDSS-II SN 13836,NUV,1.7286312753423875e-17,2.118358997192815e-17,1.0063486644031643e-17
SDSS-II SN 13839,NUV,1.6255755808326382e-17,6.315369110106833e-18,1.219835637960317e-18
SDSS-II SN 13843,FUV,2.2573139701582952e-17,3.6786940917190916e-17,9.310740312046419e-18
SDSS-II SN 13843,NUV,5.76952944257827e-18,1.2431390394202765e-18,1.0501808714971131e-18
SDSS-II SN 1385,FUV,1.1946556753016676e-18,3.6168827185004196e-18,8.362589727111674e-20
SDSS-II SN 1385,NUV,3.0953415423676475e-18,1.3009201914708819e-17,2.1667390796573535e-19
SDSS-II SN 13859,FUV,1.7038204900608507e-17,2.0048395422535924e-17,1.1926743430425957e-18
SDSS-II SN 13859,NUV,-8.922871346873397e-18,1.0675130061173688e-17,-6.246009942811379e-19
SDSS-II SN 13864,FUV,3.526767499838038e-17,5.5103073543057835e-17,3.06843438087091e-17
SDSS-II SN 13864,NUV,2.069015894488031e-18,2.153556652537087e-17,1.317696035145093e-17
SDSS-II SN 13867,NUV,2.0040844966480497e-18,4.689451442447042e-18,2.923834854886855e-19
SDSS-II SN 13896,FUV,7.383341742588685e-18,1.9433660722676073e-17,5.16833921981208e-19
SDSS-II SN 13896,NUV,7.460319100262032e-18,9.811844139071443e-18,5.222223370183423e-19
SDSS-II SN 13901,FUV,1.7120331956560394e-17,1.087588250000534e-18,1.866180179298389e-18
SDSS-II SN 13901,NUV,1.0374628436894296e-17,4.544999044651836e-18,1.1456746951728734e-18
SDSS-II SN 13902,FUV,1.2023249703591086e-17,4.0733070749497664e-17,2.078617771940237e-17
SDSS-II SN 13902,NUV,1.2075830415992818e-17,1.499328846856472e-17,3.0262993738055135e-18
SDSS-II SN 13903,FUV,2.72008079208428e-17,3.0444400431007706e-17,1.9040565544589962e-18
SDSS-II SN 13903,NUV,1.3225117447742754e-17,1.1708547827088742e-17,9.257582213419928e-19
SDSS-II SN 13907,FUV,1.9271951333764727e-17,1.3856618522283134e-17,1.349036593363531e-18
SDSS-II SN 13907,NUV,1.6287770150573794e-17,7.798478742831861e-18,1.1401439105401657e-18
SDSS-II SN 13908,FUV,2.1280281706324958e-18,2.4693491840172848e-17,1.4896197194427472e-19
SDSS-II SN 13908,NUV,6.3626390389719025e-18,1.0158649458552056e-17,4.453847327280332e-19
SDSS-II SN 13909,FUV,1.4413835542652338e-17,1.1188211964199155e-17,1.0089684879856638e-18
SDSS-II SN 13909,NUV,7.237541606053817e-18,1.0849873827855183e-17,5.066279124237673e-19
SDSS-II SN 13942,FUV,3.470403711447666e-17,2.3073426576715582e-17,2.4292825980133662e-18
SDSS-II SN 13942,NUV,1.6822171094880116e-17,6.838197401087738e-18,1.221576705823712e-18
SDSS-II SN 13946,FUV,1.5055370698781193e-17,2.2642426842011714e-17,1.0538759489146836e-18
SDSS-II SN 13946,NUV,1.7633781305451994e-17,1.0493294488411852e-17,1.2343646913816397e-18
SDSS-II SN 13958,FUV,8.106260021548706e-18,4.845393646287538e-18,5.674382015084095e-19
SDSS-II SN 13958,NUV,1.7281736735198945e-17,9.49934776496134e-19,1.0760908459468341e-18
SDSS-II SN 1403,FUV,2.475789611652869e-17,2.737163490172125e-17,1.7330527281570083e-18
SDSS-II SN 1403,NUV,7.814423917446153e-18,8.932780921821076e-18,5.470096742212308e-19
